,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
15th Judicial District," Conway, Logan, Scott, Yell",75685,4.32,8.45,30.9,Prosecuting Attorney,Tom Tatum II,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
16th Judicial District,"Cleburne, Fulton, Independence, Izard, and Stone",100698,1.33,3.45,26.1,Prosecuting Attorney,Don McSpadden,1999,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
17th Judicial District,"Prairie, White",86896,5.28,3.91,22.4,Prosecuting Attorney,"Rebecca ""Becky"" Reed",,2014,57.4,NP,C,F,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,,,,,,,,,,,,,,
18th Judicial District East,Garland,97322,8.5,5.3,33.9,Prosecuting Attorney,Terri Harris,,appt,,NP,C,F,not running,,,,,,,Michelle Lawrence,C,F,,2016,,,special election for unexpired term,,,,,,,,,,,,
18th Judicial District West,"Montgomery, Polk",29307,0.53,5.53,22.2,Prosecuting Attorney,Andy Riner,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
19th Judicial District East,Carroll,27744,0.8,14.6,36.3,Prosecuting Attorney,Tony Rogers,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
19th Judicial District West,Benton,242321,1.9,16.2,28.6,Prosecuting Attorney,Nathan Smith,,2014,51.9,NP,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,,,,,,,,,,,,,,
20th Judicial District,"Faulkner, Searcy, Van Buren",145548,9.45,3.88,31.6,Prosecuting Attorney,Cody Hiland,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
21st Judicial District,Crawford,61697,1.6,6.7,23.7,Prosecuting Attorney,Marc McCune,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
22nd Judicial District,Saline,115719,6.6,4.2,27.3,Prosecuting Attorney,Ken Casady,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
23rd Judicial District,Lonoke,71557,6.2,4,23.3,Prosecuting Attorney,Chuck Graham,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,filing deadline March 11 for June 7 primary,,,,,,,,,,,,,filing deadline for 2016 races is 3/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,,1610921,12.1,22.7,78.9,District Attorney,Nancy O'Malley,2009,2014,U,NP,C,F,,,,,,,,,,,,2018,http://www.acgov.org/rov/elections/20140603/,,,,,,,,,,,,,,
Alpine,,1116,0.3,9.6,59.6,District Attorney,Karen Dustman,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://www.alpinecountyca.gov/DocumentCenter/View/644,,,,,,,,,,,,,,
Amador,,36742,2.1,13,38.7,District Attorney,Todd Riebe,2006,2014,U,NP,C,M,,,,,,,,,,,,2018,http://co.amador.ca.us/home/showdocument?id=18908,,,,,,,,,,,,,,
Butte,,224241,1.8,15.5,47,District Attorney,Michael Ramsey,1987,2014,U,NP,C,M,,,,,,,,,,,,2018,http://clerk-recorder.buttecounty.net/elections/archives/eln30/results_final-1.htm,,,,,,,,,,,,,,
Calaveras,,44624,1,11.5,39.8,District Attorney,Barbara Yook,2010,2014,65,NP,AA,F,,,,,,,,,,,,2018,http://www.uniondemocrat.com/News/Local-News/Yook-trounces-Singer-in-DA-race,,,,,,,,,,,,,,
Colusa,,21419,1.2,58.1,38.3,District Attorney,John Poyner,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://williamspioneer.com/article/57818,,,,,,,,,,,,,,
Contra Costa,,1111339,9.6,25.2,66.4,District Attorney,Mark Peterson,2011,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.cocovote.us/elections-results/election-results/,,,,,,,,,,,,,,
Del Norte,,27212,3.5,19,43.2,District Attorney,Dale Trigg,2014,2014,43.1,NP,C,M,,,,,,,,,,,,2018,https://docs.google.com/viewer?a=v&pid=sites&srcid=Y28uZGVsLW5vcnRlLmNhLnVzfGVsZWN0fGd4OjI4NTI1M2JkZjU0NmI5YWQ,,,,,,,,,,,,,,
El Dorado,,183087,1,12.7,39.6,District Attorney,Vern Pierson,2007,2014,72,NP,C,M,,,,,,,,,,,,2018,http://elections.edcgov.us/results.fwx?election_id=95,,,,,,,,,,,,,,
Fresno,,965974,5.9,51.9,49.9,District Attorney,Lisa Smittcamp,2015,2014,59.2,NP,C,F,,,,,,,,,,,,2018,http://www.co.fresno.ca.us/DepartmentPage.aspx?id=58163,,,,,,,,,,,,,,
Glenn,,27955,1.2,40.4,35.8,District Attorney,Dwayne Stewart,2015,2014,60,NP,C,M,,,,,,,,,,,,2018,http://www.countyofglenn.net/govt/departments/elections/Statewide_Special_Election_Results.aspx,,,,,,,,,,,,,,
Humboldt,,134809,1.4,10.8,60,District Attorney,Maggie Fleming,2015,2014,59.9,NP,C,F,,,,,,,,,,,,2018,http://www.humboldtgov.org/DocumentCenter/View/5344,,,,,,,,,,,,,,
Imperial,,179091,3.5,82.3,65.2,District Attorney,Gilbert Otero,1994,2014,U,NP,H,M,,,,,,,,,,,,2018,http://www.co.imperial.ca.us/regvoters/index.asp?fileinc=res_prev,,,,,,,,,,,,,,
Inyo,,18410,1,20.9,42.6,District Attorney,Tom Hardy,2013,2014,U,NP,C,M,,,,,,,,,,,,2018,https://drive.google.com/file/d/0B-ZjQkriwApdRjB4OWNfeF9jdEU/edit,,,,,,,,,,,,,,
Kern ,,874589,6.3,51.5,40.4,District Attorney,Lisa Green,2010,2014,U,NP,C,F,,,,,,,,,,,,2018,http://elections.co.kern.ca.us/elections/SOVC/SOVC_June_3_2014_full.pdf,,,,,,,,,,,,,,
Kings,,150269,7.3,53.2,41.3,District Attorney,Keith Fagundes,2015,2014,68.8,NP,H,M,,,,,,,,,,,,2018,http://www.countyofkings.com/home/showdocument?id=7075,,,,,,,,,,,,,,
Lake,,64184,2.1,19.1,56.3,District Attorney,Don Anderson,2011,2014,59.1,NP,C,M,,,,,,,,,,,,2018,http://publicapps.lakecountyca.gov/elections/results/result26.htm#c4103,,,,,,,,,,,,,,
Lassen,,31749,8.8,18.5,28.6,District Attorney,Stacey Montgomery,2014,2014,57.7,NP,C,F,,,,,,,,,,,,2018,http://www.lassencounty.org/govt/dept/county_clerk/registrar/documents/GEMSSOVCREPORT_June2014.pdf,,,,,,,,,,,,,,
Los Angeles,,10116705,9.2,48.4,69.7,District Attorney,Jackie Lacey,2012,2012,55.1,NP,AA,F,running,none,,,none,,,,,,E,2016,http://rrcc.co.la.ca.us/elect/12110012/rr0012pg.html-ssi,,https://www.dailykos.com/story/2015/12/03/1456531/-L-A-declines-to-prosecute-CHP-officer-for-assault-caught-on-video,,,,,,,,,,,,
Madera,,154548,4.3,56.1,40.2,District Attorney,David Linn,2015,2014,58.5,NP,C,M,,,,,,,,,,,,2018,http://www.sierrastar.com/2014/11/05/70793/varney-and-linn-win-big.html,,,,,,,,,,,,,,
Marin,,252409,2.9,16,74.3,District Attorney,Edward Berberian,2005,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.marincounty.org/depts/rv/election-info/past-elections/page-data/tabs-collection/2014/june/results,,,,,,,,,,,,,,
Mariposa,,17682,1.1,10.3,38.9,District Attorney,Thomas Cooke,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.mariposacounty.org/index.aspx?NID=132,,,,,,,,,,,,,,
Mendocino,,87869,1,24.1,66.2,District Attorney,David Eyster,2010,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.co.mendocino.ca.us/acr/pastElections.htm,,,,,,,,,,,,,,
Merced,,266353,4.2,57.5,53.2,District Attorney,Larry Morse,2006,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.co.merced.ca.us/index.aspx?NID=2067,,,,,,,,,,,,,,
Modoc,,9023,1.2,14.8,27.9,District Attorney,Jordan Funk,2013,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.heraldandnews.com/news/election-results-roll-in-around-northern-california/article_54d9c7f6-e87c-11e3-b9cc-001a4bcf887a.html,,,,,,,,,,,,,,
Mono,,13997,0.8,27.9,52.8,District Attorney,Tim Kendall,2012,2014,U,NP,C,M,,,,,,,,,,,,2018,appointed in 2012,,,,,,,,,,,,,,
Monterey,,431344,3.5,57.4,67.1,District Attorney,Dean Flippo,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.thecalifornian.com/story/news/2014/06/03/election-results/9942987/,,,,,,,,,,,,,,
Napa,,141667,2.4,33.7,63,District Attorney,Gary Lieberstein,1998,2014,67.5,NP,C,M,,,,,,,,,,,,2018,http://www.countyofnapa.org/ElectionResults/20141104/FinalCertifiedResults.htm,,,,,,,,,,,,,,
Nevada,,98893,0.6,9.2,47.7,District Attorney,Clifford Newell,2007,2014,55.1,NP,C,M,,,,,,,,,,,,2018,http://www.mynevadacounty.com/nc/elections/Pages/Historical-Election-Results-2014.aspx,,,,,,,,,,,,,,
Orange,,3145515,2.2,34.3,45.6,District Attorney,Tony Rackauckhaus,1998,2014,73.3,NP,H,M,,,,,,,,,,,,2018,http://www.smartvoter.org/2014/06/03/ca/or/race/4014/,,,,,,,,,,,,,,
Placer,,371694,1.7,13.5,39,District Attorney,R. Scott Owens,2011,2014,U,NP,C,M,,,,,,,,,,,,2018,http://placerelections.com/past-elections.aspx#110414,,,,,,,,,,,,,,
Plumas,,18606,1.2,8.4,40.1,District Attorney,David Hollister,2011,2014,98.7,NP,C,M,,,,,,,,,,,,2018,http://www.plumascounty.us/index.aspx?nid=147,,,,,,,,,,,,,,
Riverside,,2329271,7,47.4,49.7,District Attorney,Michael Hestrin,2015,2014,55.3,NP,C,M,,,,,,,,,,,,2018,http://www.voteinfo.net/Elections/20140603/eresults/Election%20Result.htm,,,,,,,,,,,,,,
Sacramento,,1482026,10.9,22.5,58.1,District Attorney,Marie Schubert,2015,2014,58,NP,C,F,,,,,,,,,,,,2018,http://sacresults.e-cers.com/resultsSW.aspx?type=CTY&map=MPRC&eid=1022,,,,,,,,,,,,,,
San Benito,,58267,1.3,58.3,59.2,District Attorney,Candace Hooper Mancino,2006,2014,U,NP,C,F,,,,,,,,,,,,2018,http://sbcvote.us/june-3-2014-primary/,,,,,,,,,,,,,,
San Bernardino,,2112619,8.5,51.7,52.5,District Attorney,Michael Ramos,2002,2014,61.8,NP,H,M,,,,,,,,,,,,2018,http://www.sbcounty.gov/rov/elections/results/20140603/default.html,,,,,,,,,,,,,,
San Diego,,3263431,5.6,33.2,52.6,District Attorney,Bonnie Dumanis,2002,2014,54.8,NP,C,F,,,,,,,,,,,,2018,http://www.sandiegocounty.gov/voters/Eng/E2014.shtml,,,,,,,,,,,,,,
San Francisco,,852469,5.8,15.3,83.5,District Attorney,George Gascon,2011,2015,U,NP,H,M,,,,,,,,,,,,2019,http://www.sfelections.org/results/20151103/,,,,,,,,,,,,,,
San Joaquin,,715597,8.1,40.5,55.8,District Attorney,Tori Verber Salazar,2015,2014,78.9,NP,H,F,,,,,,,,,,,,2018,http://www.smartvoter.org/2014/06/03/ca/sj/county.html,,,,,,,,,,,,,,
San Luis Obispo,,279083,2.2,22,48.8,District Attorney,Dan Dow,2014,2014,53.8,NP,C,M,,,,,,,,,,,,2018,http://www.slocounty.ca.gov/clerk/Elections/ElectionsInfo/Past_elections/060314PrimaryElection.htm,,,,,,,,,,,,,,
San Mateo,,758581,3,25.3,72.1,District Attorney,Steven Wagstaffe,2011,2014,U,NP,C,M,,,,,,,,,,,,2018,https://www.shapethefuture.org/elections/results/2014/june/results.asp#c-200,,,,,,,,,,,,,,
Santa Barbara,,440668,2.4,44.4,57.6,District Attorney,Joyce Dudley,2010,2014,U,NP,C,F,,,,,,,,,,,,2018,http://www.sbcvote.com/elect/resources/results06_2014/results-1.htm,,,,,,,,,,,,,,
Santa Clara,,1894605,2.9,26.6,70.1,District Attorney,Jeff Rosen,2015,2014,U,NP,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/CA/Santa_Clara/51635/135179/Web01/en/summary.html,,,,,,,,,,,,,,
Santa Cruz,,271804,1.4,33.2,75.6,District Attorney,Jeffrey Rosell,2014,appt,,NP,C,M,,,,,,,,,,,,2018,,,http://www.santacruzsentinel.com/article/NE/20141118/NEWS/141119640,,,,,,,,,,,,
Shasta,,179804,1.1,9.4,33.8,District Attorney,Stephen Carlton,2011,2014,U,NP,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/CA/Shasta/51521/133660/en/summary.html,,,,,,,,,,,,,,
Sierra,,3003,0.4,9.7,36.4,District Attorney,Lawrence Allen,2003,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.sierracounty.ca.gov/index.aspx?NID=218,,,,,,,,,,,,,,
Siskiyou,,43628,1.4,11.9,40.4,District Attorney,Kirk Andrus,2005,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.co.siskiyou.ca.us/content/current-election-information,,,,,,,,,,,,,,
Solano,,431131,14.8,25.6,63.5,District Attorney,Krishna Abrams,2014,2014,51.4,NP,C,F,,,,,,,,,,,,2018,http://solano.ca.electionconsole.com/election.php?x=38&y=28&conf[]=District+Attorney&e=2014+Primary,,,,,,,,,,,,,,
Sonoma,,500292,1.9,26.1,71.1,District Attorney,Jill Ravitch,2011,2014,63.7,NP,C,F,,,,,,,,,,,,2018,http://vote.sonoma-county.org/content.aspx?sid=1009&id=3146,,,,,,,,,,,,,,
Stanislaus,,531997,3.3,44.1,50,District Attorney,Birgit Fladager,2006,2014,70.9,NP,C,F,,,,,,,,,,,,2018,http://www.stanvote.com/past-results/06-03-2014-results.htm,,,,,,,,,,,,,,
Sutter,,95847,2.5,29.9,39.3,District Attorney,Amanda Hopper,2014,2014,61.8,NP,C,F,,,,,,,,,,,,2018,http://www.co.sutter.ca.us/docs/elections/result28.htm,,,,,,,,,,,,,,
Tehama,,63067,1,24.1,34.5,District Attorney,Greg Cohen,,2014,60.3,NP,C,M,,,,,,,,,,,,2018,http://www.co.tehama.ca.us/dep-elections,,,,,,,,,,,,,,
Trinity,,13170,0.5,7.3,47.1,District Attorney,Eric Heryford,2015,2014,59.5,NP,C,M,,,,,,,,,,,,2018,http://www.trinitycounty.org/index.aspx?page=276#11/3/14,,,,,,,,,,,,,,
Tulare,,458198,2.2,62.9,41.3,District Attorney,Tim Ward,2012,2014,55.7,NP,C,M,,,,,,,,,,,,2018,http://r.search.yahoo.com/_ylt=AwrTcdnSMJVWmWUAK3InnIlQ;_ylu=X3oDMTByYnR1Zmd1BGNvbG8DZ3ExBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1452646739/RO=10/RU=http%3a%2f%2ftularecounty.ca.gov%2fregistrarofvoters%2findex.cfm%2fregistrar-of-voters%2fcurrent-election-information%2fjune-3-2014-primary-election%2ffinal-official-results%2f/RK=0/RS=8b56TqZ1sYfk0qhWyoGqGRad34M-,,,,,,,,,,,,,,
Tuolumne,,53831,2.1,11.5,40.5,District Attorney,Laura Krieg,2015,2014,U,NP,C,F,,,,,,,,,,,,2018,http://www.tuolumnecounty.ca.gov/elections,,,,,,,,,,,,,,
Ventura,,846178,2.2,42,52.3,District Attorney,Gregory Totten,2002,2014,U,NP,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/CA/Ventura/50935/134179/en/summary.html#,,,,,,,,,,,,,,
Yolo,,207590,3,31.5,65.4,District Attorney,Jeff Reisig,2007,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.yoloelections.org/election-returns/archives/20140603/25,,,,,,,,,,,,,,
Yuba,,73966,4,27.2,39.1,District Attorney,Patrick McGrath,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.co.yuba.ca.us/departments/elections/results/2014JunPrimary/default.aspx,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,notes on police shootings in colorado http://kdvr.com/2015/11/25/shots-fired-the-data-behind-deadly-force-in-colorado/,,,,,,,,,,,,
Colorado,filing deadline April 4,only state with term limits for district attorneys,,,,,,,,,,,,"filing deadline April 4, 2016",,,,,,,,,,,,http://data.denverpost.com/election/results/district-attorney/2012/,,,,,,,2016 Candidates: http://tracer.sos.colorado.gov/PublicSite/SearchPages/CandidateSearch.aspx,,,,,,,
1st Judicial District,"Jefferson, Gilpin",564354,1.31,15.11,51.5,District Attorney,Peter Weir,2013,2012,U,R,C,M,running,,,,Jacob Lilly ,C,M,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
2nd Judicial District,Denver,663862,10.2,30.8,73.6,District Attorney,Mitchell Morrissey,2004,2012,U,D,C,M,termed out,,,,Michael Carrigan,C,M,Helen Morgan,C,F,T,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,ttp://www.coloradoindependent.com/153370/will-denvers-district-attorney-ever-throw-the-books-at-killer-cops),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Beth McCann,C,F,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Kenneth Boyd,C,M,,,,,,,,,,,,,,,,,,,,
3rd Judicial District,"Las Animas, Huerfano",20514,1.55,39.95,51,District Attorney,Frank Ruybalid,2013,2012,U,D,C,M,No,,,,David Mahonee,C,M,,,,A,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,on probation for misconduct,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Henry L. Solano,C,M,,,,,,,,,,,,,,,,,,,,
4th Judicial District,"El Paso, Teller",686908,6.79,15.96,38.2,District Attorney,Dan May,2009,2012,U,R,C,M,running ,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
5th Judicial District,"Eagle, Summit, Lake, Clear Creek",98869,0.97,23.75,57.9,District Attorney,Bruce Brown,2013,2012,53.4,D,C,M,running ,,,,,,,,,,A,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
6th Judicial District,"La Plata, San Juan, Archuleta",66953,0.58,13.71,50.6,District Attorney,Todd Risberg,2009,2012,U,D,C,M,term limited,,,,Christian Champagne,C,M,,,,A,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,http://www.durangoherald.com/article/20150923/NEWS01/150929850/Champagne-makes-run-for-DA-official--,http://www.durangoherald.com/article/20151212/NEWS01/151219861&source=RSS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Benjamin Lammons,C,M,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,appointed after incumbent resigned in sex scandal,,,,,,,,,,,,
7th Judicial District,"Delta, Gunnison, Montrose, San Miguel, Ouray, Hinsdale",99723,0.64,15.19,39.2,District Attorney,Dan Hotsenpiller,2011,2012,U,D,C,M,running,,,,,,,,,,,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
8th Judicial District,"Jackson, Larrimer",325518,1.1,11.1,51.4,District Attorney,Cliff Riedel,2013,2012,U,R,C,M,running,,C,M,,,,,,,E,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
9th Judicial District,"Garfield, Rio Blanco, Pitkin",81794,1.11,22.78,49.46,District Attorney,Sherry Caloia,2013,2012,50.3,D,C,F,running,Tony Hershey,C,M,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,http://www.postindependent.com/news/19909000-113/a-totally-serious-preview-of-2016,,,,,,,,,,,,
,,,,,,,,,,,,,,,Jefferson Jay Cheney,C,M,,,,,,,,,,,,,,,,,,,,,,,
10th Judicial District,Pueblo,161875,2.5,42.5,55.8,District Attorney,Jeff Chostner,2013,2012,U,D,C,M,running,,,,,,,,,,A,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
11th Judicial District,"Park, Chaffee, Fremont, Custer",85571,2.71,10.71,38.5,District Attorney,Thom LeDeux,,2012,U,R,C,M,retiring,Molly Chilson ,C,F,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Roger B. Larsen,C,M,,,,,,,,,,,candidate filing http://www.sos.state.co.us/pubs/elections/vote/primaryCandidates.html,,,,,,,,,,,,
12th Judicial District,"Mineral, Rio Grande, Saguache, Alamosa, Costilla, Conejos",46511,1.22,46.57,58.3,District Attorney,David Mahonee,2009,2012,51.4,D,C,M,no,,,,Crista Newmyer-Olsen,C,F,,,,E,"term limited, defeated R former DA in 2012",http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,candidate filing http://www.sos.state.co.us/pubs/elections/vote/primaryCandidates.html,,,,,,,,,,,,
13th Judicial District,"Morgan, Washington, Yuma, Kit Carson, Phillips, Sedgwick, Logan",80617,2.71,23.72,28.9,District Attorney,Brittny Lewton,2013,2012,U,R,C,F,running,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,candidate filing http://www.sos.state.co.us/pubs/elections/vote/primaryCandidates.html,,,,,,,,,,,,
14th Judicial District,"Grand, Moffett, Routt",51339,0.55,9.12,45.4,District Attorney,Brett Barkey,,2012,U,R,C,M,running ,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
15th Judicial District,"Cheyenne, Kiowa, Prowers, Baca",18952,0.84,26.85,25.6,District Attorney,Jennifer Swanson,,2012,U,R,C,F,,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
16th Judicial District,"Crowley, Otero, Bent",29478,3.82,37.3,42.9,District Attorney,James Bullock,,2012,57.2,R,C,M,running,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,http://www.usobserver.com/archive/march-14/da-undersheriff-criminal-in-bed.htm,,,,,,,,,,,,
17th Judicial District,"Adams, Broomfield",542856,3.44,35.73,56.3,District Attorney,Dave Young,,2012,U,D,C,M,running,Molly Jansen,C,F,Caryn Alysse Datz,C,F,,,,A,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
18th Judicial District,"Douglas, Arapahoe, Lincoln, Elbert",938969,7.69,15.25,46.6,District Attorney,George Brauchler,,2012,52.4,R,C,M,running,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
19th Judicial District,Weld,277670,1.4,28.8,42.3,District Attorney,Michael J Rourke,2014,appt,,R,C,M,running,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,Was involved in a police shooting non prosecution http://www.greeleytribune.com/news/19977732-113/weld-da-michael-rourke-announces-2016-campaign#,,,,,,,,,,,,
20th Judicial District,Boulder,313333,1.1,13.8,69.7,District Attorney,Stan Garnett,2009,2012,U,D,C,M,running,,,,,,,,,,A,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
21st Judicial District,Mesa,148255,1,14.1,32.7,District Attorney,Daniel Rubinstein,2015,appt,,R,C,M,running,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
22nd Judicial District,"Dolores, Montezeuma",27750,0.49,11.69,40,District Attorney,Will Furse,,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://www.sos.state.co.us/pubs/elections/Results/Abstract/2012/general/districtAttorney.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,filing deadline May 6,,,,,,,,,,,,,filing deadline may 6 2016,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Judicial District,"Escambia, Santa Rosa, Okaloosa, Walton",732123,14.35,6.29,30.42,State Attorney,William Eddins,2005,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://dos.elections.myflorida.com/candidates/canlist.asp,,,,,,,,,,,,,,
2nd Judicial District,"Leon, Franklin, Gadsden, Jefferson, Liberty, and Wakulla",395926,32.43,6.34,58.7,State Attorney,William Meggs,,2012,51.3,D,C,M,not running,Pete Williams,C,M,Jack Campbell,C,M,,,,M,2016,http://results.elections.myflorida.com/Index.asp?ElectionDate=11/6/2012&DATAMODE=,Sean Desmond seeking AA vote: https://www.facebook.com/VoteSeanDesmond,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Sean Desmond,C,M,,,,,,,,,,,,,,,,,,,,
3rd Judicial District,"Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, and Taylor",169187,19.65,6.95,31.73,State Attorney,Jeff Siegmeister,,2012,56.2,R,C,M,running,,,,,,,,,,N,2016,http://results.elections.myflorida.com/Index.asp?ElectionDate=11/6/2012&DATAMODE=,,,,,,,,,,,,,,
